,Network,Date,Time,Program,Length,Rating,Minute_In_Commercial,Total_Loss_perc
288,DKN,10/19/15,10:48 PM,BLINDSPOT,60,1.988802221,0,0.796388704
289,DKN,10/19/15,10:49 PM,BLINDSPOT,60,1.996057404,1,8.309399275
290,DKN,10/19/15,10:50 PM,BLINDSPOT,60,1.841425194,1,2.491130466
291,DKN,10/19/15,10:51 PM,BLINDSPOT,60,1.848721689,1,0.596993018
292,DKN,10/19/15,10:52 PM,BLINDSPOT,60,1.929695665,1,0.917920893
293,DKN,10/19/15,10:53 PM,BLINDSPOT,60,1.964011333,0,1.178916461
294,DKN,10/19/15,10:54 PM,BLINDSPOT,60,1.984824525,0,1.550511273
295,DKN,10/19/15,10:55 PM,BLINDSPOT,60,1.974713625,0,1.129685309
296,DKN,10/19/15,10:56 PM,BLINDSPOT,60,1.980322443,0,1.23190399
297,DKN,10/19/15,10:57 PM,BLINDSPOT,60,1.989768919,0,0.485212962
298,DKN,10/19/15,10:58 PM,BLINDSPOT,60,2.061728264,1,2.672286519
299,DKN,10/19/15,10:59 PM,BLINDSPOT,60,2.130355629,1,0
300,DKN,10/26/15,10:00 PM,BLINDSPOT,60,2.894850764,0,20.69465215
301,DKN,10/26/15,10:01 PM,BLINDSPOT,60,2.436443571,0,9.125995297
302,DKN,10/26/15,10:02 PM,BLINDSPOT,60,2.351843293,0,6.091202607
303,DKN,10/26/15,10:03 PM,BLINDSPOT,60,2.268865288,0,6.442467549
304,DKN,10/26/15,10:04 PM,BLINDSPOT,60,2.192886115,0,5.379394978
305,DKN,10/26/15,10:05 PM,BLINDSPOT,60,2.115257506,0,2.380695719
306,DKN,10/26/15,10:06 PM,BLINDSPOT,60,2.129565758,0,3.67173238
307,DKN,10/26/15,10:07 PM,BLINDSPOT,60,2.097790968,0,3.659406222
308,DKN,10/26/15,10:08 PM,BLINDSPOT,60,2.053300917,1,7.664981905
309,DKN,10/26/15,10:09 PM,BLINDSPOT,60,1.906816131,1,2.740972759
310,DKN,10/26/15,10:10 PM,BLINDSPOT,60,1.938402177,1,2.494765131
311,DKN,10/26/15,10:11 PM,BLINDSPOT,60,1.971144359,1,2.864378828
312,DKN,10/26/15,10:12 PM,BLINDSPOT,60,2.022354944,1,2.954476716
